sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-13T03:48:14.835462297Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	6	0	0.000000	0.000000	3845812224	1059590144	2786222080	295383040	81420288	2529275904	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	2026-09-13T03:48:15.846693311Z	1011	2	0.990099	0.990099	0.495050	0.495050	0.000000	0.000000	99.009901	0.000000	0.000000	0.000000	1	0	575.536145	329.301609	3845812224	1060569088	2785243136	294350848	81420288	2529329152	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	740.681396	1617.830126	6.922256	8.900043	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	0.000000	0.000000
2	2026-09-13T03:48:16.846749514Z	2011	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	526.970279	305.982743	3845812224	1060564992	2785247232	294350848	81420288	2529333248	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	283.983983	1121.936723	2.999831	4.999718	0.000000	0.000000	0.000000	0.000000	0.180000	0.000000	0.000000	0.000000	0.000000
3	2026-09-13T03:48:17.847077252Z	3011	2	0.995025	0.995025	0.497512	0.497512	0.000000	0.000000	99.004975	0.000000	0.000000	0.000000	1	1	588.807142	328.892275	3845812224	1061335040	2784477184	293576704	81420288	2529337344	0	0	0.000000	0.000000	0.000000	290720.777317	8	7.997381	335.889983	1159.620178	3.998690	5.998035	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	0.000000	0.000000
4	2026-09-13T03:48:18.847309075Z	4011	2	0.000000	1.005025	0.000000	0.000000	1.005025	0.000000	98.994975	0.000000	0.000000	0.000000	2	0	807.812731	465.891996	3845812224	1062109184	2783703040	292802560	81420288	2529337344	0	0	0.000000	0.000000	0.000000	974622.061165	0	19.995365	307.928615	1145.734394	2.999305	4.998841	0.000000	0.000000	0.000000	0.000000	0.140000	0.000000	0.000000	0.000000	0.000000
5	2026-09-13T03:48:19.847415977Z	5011	2	0.000000	0.500000	0.000000	0.000000	0.500000	0.000000	99.500000	0.000000	0.000000	0.000000	1	0	537.942493	312.966544	3845812224	1062109184	2783703040	292802560	81420288	2529341440	0	0	0.000000	0.000000	0.000000	2010921.030531	0	7.999145	311.966650	1163.875581	3.999572	5.999359	0.000000	0.000000	0.000000	0.000000	0.120000	0.000000	0.000000	0.000000	0.000000
6	2026-09-13T03:48:20.847285018Z	6011	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.000000	0.000000	0.000000	1	0	456.059724	270.035363	3845812224	1062105088	2783707136	292802560	81420288	2529345536	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	232.030386	1056.138309	2.000262	4.000524	0.000000	0.000000	0.000000	0.000000	0.120000	0.000000	0.000000	0.000000	0.000000
7	2026-09-13T03:48:21.847167886Z	7011	2	0.497512	0.497512	0.000000	0.497512	0.000000	0.000000	99.502488	0.000000	0.000000	0.000000	1	0	473.055410	264.030926	3845812224	1062105088	2783707136	292802560	81420288	2529345536	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	232.027178	1056.123706	2.000234	4.000469	0.000000	0.000000	0.000000	0.000000	0.090000	0.000000	0.000000	0.000000	0.000000
8	2026-09-13T03:48:22.847632849Z	8012	2	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	99.500000	0.000000	0.000000	0.000000	1	0	582.729046	357.833617	3845812224	1062100992	2783711232	292802560	81420288	2529349632	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	335.843841	1187.447868	3.998141	5.997211	0.000000	0.000000	0.000000	0.000000	0.090000	0.000000	0.000000	0.000000	0.000000
9	2026-09-13T03:48:23.847536061Z	9012	2	0.500000	0.500000	0.500000	0.000000	0.000000	0.000000	99.500000	0.000000	0.000000	0.000000	1	0	471.045597	295.028558	3845812224	1062092800	2783719424	292802560	81420288	2529357824	0	0	0.000000	0.000000	0.000000	49156.758325	0	8.000774	388.037562	1254.121398	5.000484	7.000678	0.000000	0.000000	0.000000	0.000000	0.080000	0.000000	0.000000	0.000000	0.000000
