sample	timestamp	elapsed_ms	service	available	cpu_pct	cpu_host_pct	cpu_user_pct	cpu_system_pct	memory_current_bytes	memory_pct_of_host	memory_peak_bytes	io_read_bytes_per_sec	io_write_bytes_per_sec	tasks_current
0	2026-09-13T03:48:14.835462297Z	0	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
0	2026-09-13T03:48:14.835462297Z	0	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
0	2026-09-13T03:48:14.835462297Z	0	mysql.service	1	0.000000	0.000000	0.000000	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
1	2026-09-13T03:48:15.846693311Z	1011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
1	2026-09-13T03:48:15.846693311Z	1011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
1	2026-09-13T03:48:15.846693311Z	1011	mysql.service	1	0.136270	0.068135	0.065168	0.071003	410923008	10.684947	411512832	0.000000	0.000000	40
2	2026-09-13T03:48:16.846749514Z	2011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
2	2026-09-13T03:48:16.846749514Z	2011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
2	2026-09-13T03:48:16.846749514Z	2011	mysql.service	1	0.140092	0.070046	0.066996	0.073096	410923008	10.684947	411512832	0.000000	0.000000	40
3	2026-09-13T03:48:17.847077252Z	3011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
3	2026-09-13T03:48:17.847077252Z	3011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
3	2026-09-13T03:48:17.847077252Z	3011	mysql.service	1	0.147952	0.073976	0.147952	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
4	2026-09-13T03:48:18.847309075Z	4011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
4	2026-09-13T03:48:18.847309075Z	4011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
4	2026-09-13T03:48:18.847309075Z	4011	mysql.service	1	0.142967	0.071483	0.142967	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
5	2026-09-13T03:48:19.847415977Z	5011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
5	2026-09-13T03:48:19.847415977Z	5011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
5	2026-09-13T03:48:19.847415977Z	5011	mysql.service	1	0.141285	0.070642	0.141285	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
6	2026-09-13T03:48:20.847285018Z	6011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
6	2026-09-13T03:48:20.847285018Z	6011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
6	2026-09-13T03:48:20.847285018Z	6011	mysql.service	1	0.137318	0.068659	0.137318	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
7	2026-09-13T03:48:21.847167886Z	7011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
7	2026-09-13T03:48:21.847167886Z	7011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
7	2026-09-13T03:48:21.847167886Z	7011	mysql.service	1	0.136316	0.068158	0.136316	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
8	2026-09-13T03:48:22.847632849Z	8012	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
8	2026-09-13T03:48:22.847632849Z	8012	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
8	2026-09-13T03:48:22.847632849Z	8012	mysql.service	1	0.130439	0.065220	0.130439	0.000000	410923008	10.684947	411512832	0.000000	0.000000	40
9	2026-09-13T03:48:23.847536061Z	9012	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
9	2026-09-13T03:48:23.847536061Z	9012	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
9	2026-09-13T03:48:23.847536061Z	9012	mysql.service	1	0.132613	0.066306	0.038204	0.094409	410923008	10.684947	411512832	0.000000	0.000000	40
10	2026-09-13T03:48:24.847247923Z	10011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
10	2026-09-13T03:48:24.847247923Z	10011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
10	2026-09-13T03:48:24.847247923Z	10011	mysql.service	1	0.137740	0.068870	0.065919	0.071821	410923008	10.684947	411512832	0.000000	0.000000	40
11	2026-09-13T03:48:25.847000473Z	11011	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
11	2026-09-13T03:48:25.847000473Z	11011	nginx.service	1	0.000000	0.000000	0.000000	0.000000	76279808	1.983451	92569600	0.000000	0.000000	3
11	2026-09-13T03:48:25.847000473Z	11011	mysql.service	1	0.140735	0.070367	0.067317	0.073418	410923008	10.684947	411512832	0.000000	0.000000	40
12	2026-09-13T03:48:26.847666428Z	12012	app.service	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0	0.000000	0.000000	0
