sample	timestamp	elapsed_ms	cpu_count	cpu_busy_pct	cpu_nonidle_pct	cpu_user_pct	cpu_system_pct	cpu_iowait_pct	cpu_steal_pct	cpu_idle_pct	load1	load5	load15	procs_running	procs_blocked	context_switches_per_sec	interrupts_per_sec	mem_total_bytes	mem_used_bytes	mem_available_bytes	mem_free_bytes	buffers_bytes	cached_bytes	swap_total_bytes	swap_used_bytes	swap_in_bytes_per_sec	swap_out_bytes_per_sec	disk_read_bytes_per_sec	disk_write_bytes_per_sec	disk_io_in_progress	disk_io_time_millis_per_sec	net_rx_bytes_per_sec	net_tx_bytes_per_sec	net_rx_packets_per_sec	net_tx_packets_per_sec	net_rx_errors_per_sec	net_tx_errors_per_sec	net_rx_drops_per_sec	net_tx_drops_per_sec	cpu_pressure_some_avg10	memory_pressure_some_avg10	memory_pressure_full_avg10	io_pressure_some_avg10	io_pressure_full_avg10
0	2026-09-13T03:48:14.837301203Z	0	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.240000	0.050000	0.020000	3	0	0.000000	0.000000	3845804032	930615296	2915188736	1117671424	129392640	1847508992	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
1	2026-09-13T03:48:15.85032871Z	1013	2	7.804878	8.292683	3.902439	3.902439	0.487805	0.000000	91.707317	0.240000	0.050000	0.020000	1	0	2630.728176	1669.253788	3845804032	929112064	2916691968	1117450240	129392640	1849380864	0	0	0.000000	0.000000	133429.743351	0.000000	0	7.897120	570055.597849	20112.978078	499.492854	236.913607	0.000000	0.000000	0.000000	0.000000	1.990000	0.000000	0.000000	0.000000	0.000000
2	2026-09-13T03:48:16.850570423Z	2013	2	2.020202	2.020202	0.505051	1.515152	0.000000	0.000000	97.979798	0.240000	0.050000	0.020000	1	0	1943.530222	1213.706630	3845804032	929095680	2916708352	1117450240	129392640	1849384960	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	5648.634646	5059.776981	38.990575	37.990817	0.000000	0.000000	0.000000	0.000000	1.990000	0.000000	0.000000	0.000000	0.000000
3	2026-09-13T03:48:17.850879606Z	3013	2	1.010101	2.525253	0.000000	1.010101	1.515152	0.000000	97.474747	0.240000	0.050000	0.020000	1	0	2276.296210	1330.588606	3845804032	929091584	2916712448	1117450240	129392640	1849389056	0	0	0.000000	0.000000	0.000000	1523241.041288	0	35.988873	2601.195757	2444.244284	10.996600	9.996909	0.000000	0.000000	0.000000	0.000000	1.810000	0.000000	0.000000	0.000000	0.000000
4	2026-09-13T03:48:18.850377378Z	4013	2	1.500000	2.000000	0.500000	1.000000	0.500000	0.000000	98.000000	0.220000	0.050000	0.020000	1	0	2196.102942	1354.680357	3845804032	929091584	2916712448	1117450240	129392640	1849389056	0	0	0.000000	0.000000	0.000000	7274053.225929	0	16.008040	2119.064251	1763.885871	6.003015	5.002512	0.000000	0.000000	0.000000	0.000000	1.810000	0.000000	0.000000	0.000000	0.000000
5	2026-09-13T03:48:19.850448256Z	5013	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.220000	0.050000	0.020000	1	0	1800.872360	1096.922253	3845804032	929087488	2916716544	1117450240	129392640	1849393152	0	0	0.000000	0.000000	0.000000	241646.872795	0	7.999433	2189.844790	1834.869950	7.999433	6.999504	0.000000	0.000000	0.000000	0.000000	1.480000	0.000000	0.000000	0.180000	0.180000
6	2026-09-13T03:48:20.850532984Z	6013	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.220000	0.050000	0.020000	1	0	1866.841826	1119.905113	3845804032	929083392	2916720640	1117450240	129392640	1849397248	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2057.825645	1762.850637	4.999576	4.999576	0.000000	0.000000	0.000000	0.000000	1.480000	0.000000	0.000000	0.180000	0.180000
7	2026-09-13T03:48:21.85036914Z	7013	2	1.000000	1.000000	0.500000	0.500000	0.000000	0.000000	99.000000	0.220000	0.050000	0.020000	1	0	1883.308591	1182.193710	3845804032	929083392	2916720640	1117450240	129392640	1849397248	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2110.345793	1755.287614	6.000983	5.000819	0.000000	0.000000	0.000000	0.000000	1.210000	0.000000	0.000000	0.140000	0.140000
8	2026-09-13T03:48:22.850367902Z	8013	2	1.492537	1.990050	0.995025	0.497512	0.497512	0.000000	98.009950	0.220000	0.050000	0.020000	1	0	2133.002632	1228.001515	3845804032	929079296	2916724736	1117450240	129392640	1849401344	0	0	0.000000	0.000000	0.000000	159744.197124	0	4.000005	2222.002742	1895.002338	8.000010	7.000009	0.000000	0.000000	0.000000	0.000000	1.210000	0.000000	0.000000	0.140000	0.140000
9	2026-09-13T03:48:23.850371313Z	9013	2	1.492537	1.492537	0.995025	0.497512	0.000000	0.000000	98.507463	0.200000	0.050000	0.020000	1	0	1866.993617	1168.996003	3845804032	929071104	2916732928	1117450240	129392640	1849409536	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2057.992964	1688.994225	4.999983	3.999986	0.000000	0.000000	0.000000	0.000000	0.990000	0.000000	0.000000	0.120000	0.120000
10	2026-09-13T03:48:24.850365512Z	10013	2	0.502513	0.502513	0.502513	0.000000	0.000000	0.000000	99.497487	0.200000	0.050000	0.020000	2	0	2000.011620	1166.006774	3845804032	929071104	2916732928	1117450240	129392640	1849413632	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2118.012306	1837.010673	6.000035	6.000035	0.000000	0.000000	0.000000	0.000000	0.990000	0.000000	0.000000	0.120000	0.120000
11	2026-09-13T03:48:25.850370515Z	11013	2	0.505051	0.505051	0.000000	0.505051	0.000000	0.000000	99.494949	0.200000	0.050000	0.020000	1	0	1989.990024	1151.994225	3845804032	929071104	2916732928	1117450240	129392640	1849417728	0	0	0.000000	0.000000	0.000000	20479.897334	0	3.999980	2117.989383	1836.990791	5.999970	5.999970	0.000000	0.000000	0.000000	0.000000	0.810000	0.000000	0.000000	0.090000	0.090000
12	2026-09-13T03:48:26.850363315Z	12013	2	1.492537	1.492537	0.497512	0.995025	0.000000	0.000000	98.507463	0.200000	0.050000	0.020000	1	0	2181.015241	1320.009224	3845804032	929058816	2916745216	1117450240	129392640	1849421824	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2238.015639	1985.013871	8.000056	8.000056	0.000000	0.000000	0.000000	0.000000	0.810000	0.000000	0.000000	0.090000	0.090000
13	2026-09-13T03:48:27.85037217Z	13013	2	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	100.000000	0.200000	0.050000	0.020000	1	0	1912.983468	1095.990528	3845804032	929050624	2916753408	1117450240	129392640	1849430016	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2193.981040	1926.983347	6.999940	6.999940	0.000000	0.000000	0.000000	0.000000	0.660000	0.000000	0.000000	0.080000	0.080000
14	2026-09-13T03:48:28.850381186Z	14013	2	0.505051	0.505051	0.505051	0.000000	0.000000	0.000000	99.494949	0.190000	0.050000	0.010000	1	0	1907.982796	1176.989387	3845804032	929050624	2916753408	1117450240	129392640	1849430016	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2057.981443	1688.984770	4.999955	3.999964	0.000000	0.000000	0.000000	0.000000	0.660000	0.000000	0.000000	0.080000	0.080000
15	2026-09-13T03:48:29.850380346Z	15013	2	0.502513	0.502513	0.502513	0.000000	0.000000	0.000000	99.497487	0.190000	0.050000	0.010000	1	0	2169.001824	1240.001043	3845804032	929046528	2916757504	1117450240	129392640	1849434112	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2058.001731	1689.001420	5.000004	4.000003	0.000000	0.000000	0.000000	0.000000	0.540000	0.000000	0.000000	0.060000	0.060000
16	2026-09-13T03:48:30.850423353Z	16013	2	1.000000	1.000000	0.500000	0.500000	0.000000	0.000000	99.000000	0.190000	0.050000	0.010000	1	0	1887.918806	1151.950458	3845804032	929046528	2916757504	1117450240	129392640	1849438208	0	0	0.000000	0.000000	0.000000	16383.295404	0	3.999828	2265.902550	1896.918419	8.999613	7.999656	0.000000	0.000000	0.000000	0.000000	0.540000	0.000000	0.000000	0.060000	0.060000
17	2026-09-13T03:48:31.850461127Z	17013	2	0.505051	0.505051	0.505051	0.000000	0.000000	0.000000	99.494949	0.190000	0.050000	0.010000	1	0	2092.920942	1253.952633	3845804032	929042432	2916761600	1117450240	129392640	1849438208	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2057.922264	1688.936202	4.999811	3.999849	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.000000	0.050000	0.050000
18	2026-09-13T03:48:32.850367926Z	18013	2	0.502513	0.502513	0.502513	0.000000	0.000000	0.000000	99.497487	0.190000	0.050000	0.010000	1	0	1799.167684	1049.097777	3845804032	929038336	2916765696	1117450240	129392640	1849442304	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2058.191826	1763.164329	5.000466	5.000466	0.000000	0.000000	0.000000	0.000000	0.440000	0.000000	0.000000	0.050000	0.050000
19	2026-09-13T03:48:33.85037274Z	19013	2	0.502513	0.502513	0.502513	0.000000	0.000000	0.000000	99.497487	0.170000	0.050000	0.010000	1	0	1866.990798	1163.994263	3845804032	929038336	2916765696	1117450240	129392640	1849450496	0	0	0.000000	0.000000	0.000000	0.000000	0	0.000000	2057.989856	1688.991675	4.999975	3.999980	0.000000	0.000000	0.000000	0.000000	0.360000	0.000000	0.000000	0.040000	0.040000
