sample	timestamp	elapsed_ms	status_rows	threads_connected	threads_running	threads_cached	threads_created_total	threads_created_per_sec	connections_total	connections_per_sec	questions_total	questions_per_sec	com_select_total	com_select_per_sec	com_insert_total	com_insert_per_sec	com_update_total	com_update_per_sec	com_delete_total	com_delete_per_sec	bytes_received_total	bytes_received_per_sec	bytes_sent_total	bytes_sent_per_sec	buffer_pool_pages_total	buffer_pool_pages_free	buffer_pool_pages_dirty	buffer_pool_read_requests_total	buffer_pool_read_requests_per_sec	buffer_pool_reads_total	buffer_pool_reads_per_sec	buffer_pool_hit_pct	row_lock_current_waits	row_lock_waits_total	row_lock_waits_per_sec	row_lock_time_ms_total	row_lock_time_ms_per_sec	innodb_log_waits_total	innodb_log_waits_per_sec	created_tmp_tables_total	created_tmp_tables_per_sec	created_tmp_disk_tables_total	created_tmp_disk_tables_per_sec	tmp_disk_ratio_pct	aborted_connects_total	aborted_connects_per_sec
16	2026-09-13T03:48:31.076397642Z	16001	24	2	2	1	3	0.000	752	0.000	198670	1.001	32435	0.000	163525	0.000	0	0.000	244	0.000	28447979	553.323	45053045	850.496	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1177	1.001	0	0.000	0.000	1	0.000
17	2026-09-13T03:48:32.076621104Z	17001	24	2	2	1	3	0.000	752	0.000	198671	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28448532	552.876	45053895	849.810	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1178	1.000	0	0.000	0.000	1	0.000
18	2026-09-13T03:48:33.076587155Z	18001	24	2	2	1	3	0.000	752	0.000	198672	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28449085	553.019	45054745	850.029	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1179	1.000	0	0.000	0.000	1	0.000
19	2026-09-13T03:48:34.076419356Z	19001	24	2	2	1	3	0.000	752	0.000	198673	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28449638	553.093	45055595	850.143	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1180	1.000	0	0.000	0.000	1	0.000
20	2026-09-13T03:48:35.076695935Z	20001	24	2	2	1	3	0.000	752	0.000	198674	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28450191	552.847	45056445	849.765	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1181	1.000	0	0.000	0.000	1	0.000
21	2026-09-13T03:48:36.07652571Z	21001	24	2	2	1	3	0.000	752	0.000	198675	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28450744	553.094	45057295	850.145	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1182	1.000	0	0.000	0.000	1	0.000
22	2026-09-13T03:48:37.076543679Z	22001	24	2	2	1	3	0.000	752	0.000	198676	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28451297	552.990	45058145	849.985	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1183	1.000	0	0.000	0.000	1	0.000
23	2026-09-13T03:48:38.076563135Z	23001	24	2	2	1	3	0.000	752	0.000	198677	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28451850	552.989	45058995	849.983	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1184	1.000	0	0.000	0.000	1	0.000
24	2026-09-13T03:48:39.076360342Z	24001	24	2	2	1	3	0.000	752	0.000	198678	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28452403	553.112	45059845	850.172	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1185	1.000	0	0.000	0.000	1	0.000
25	2026-09-13T03:48:40.076605162Z	25001	24	2	2	1	3	0.000	752	0.000	198679	1.000	32435	0.000	163525	0.000	0	0.000	244	0.000	28452956	552.865	45060695	849.792	8192	6693	0	8089416	0.000	1028	0.000	0.000	0	0	0.000	0	0.000	0	0.000	1186	1.000	0	0.000	0.000	1	0.000
